county,eat5plusveg,noeat5plusveg,always_availableveg,usually_availableveg,sometimes_availableveg,never_availableveg,doesn’t_eat_veg,underweight,normalweight,overweight,obese,diabetes,never_diabetes,always_affordveg,usually_affordveg,sometimes_affordveg,never_affordveg,population,income 5000_or_less,income 5001_to_10000,income 10001_to_15000,income 15001_to_20000,income 20001_to_30000,income 30001_to_40000,income 40001_to_50000,income 50001_to_60000,income 60001_to_70000,income 70001_to_80000,income 80001_to_90000,income 90001_to_100000,income 100001_to_135000,income 135000_above,Currently receiving food stamps,Currently not receiving food stamps,Has been Diagnosed with Heart Disease ,Has been Diagnosed with Heart Disease,Population,Latino,White,Black,American_Indian/Alaska_Native,Asian,Native_Hawaiian/Pacific_Islander,Mixed
sandiego,46.5,53.5,80.8,9.3,6.2,2.9,0.7,2,39.5,34.6,23.9,8.4,91.6,52.0,29.1,17.7,1.2,2289000.0,3.2,2.9,4.5,5.1,9.4,7.8,7.8,6.3,5.1,6.0,4.8,6.2,9.8,21.0,23.3,76.7,6.4%,93.6%,"2,392,000",30.8,49.8,4.5,0.4,11.7,0.4,2.3
sanfrancisco,46.9,53.1,81.6,10.9,5.2,1.8,0.5,2.7,53.8,29.7,13.8,5.9,94.1,54.0,29.2,14.9,1.9*,678000.0,3.1,3.1,4.2,4.1,6.9,6.8,5.8,4.8,4.8,4.5,3.8,5.7,8.2,34.2,36.6,63.4,5.4%,94.6%,"699,000",14.3,44.4,5.7,0.1*,32.3,0.3*,2.9
sanjoaquin,44.5,55.5,69.6,12.5,11.0,6.4,0.5,2,28.6,35.1,34.3,12.6,87.4,45.6,28.6,23.4,2.4,483000.0,3.7,4.7,6.4,6.4,12.9,9.7,8.7,5.5,4.6,5.6,4.1,6.7,7.7,13.3,30.5,69.5,7.5%,92.5%,"536,000",38.0,36.8,6.7,0.8,14.1,0.8,2.8
sanluisobispo,52.4,47.6,83.2,9.3,3.7,3.4,0.3,1.8,42.4,35.2,20.7,7.1,92.9,54.1,32.8,12.6,0.5*,194000.0,2.5,2.9,4.4,3.7,8.3,7.4,6.3,7.1,5.6,9.1,4.5,6.3,11.9,20.1,32,68,9.1%,90.9%,"201,000",17.9,74.0,1.6,0.4,3.3,,2.6
sanmateo,55.2,44.8,84.8,7.5,5.4,2.0,0.2,1.7,43.6,35.4,19.3,8.4,91.6,58.4,26.2,14.8,0.6*,579000.0,2.2,1.8,2.6,3,5.4,6,6.5,5.5,4.3,5.6,3.6,6.6,10,36.9,20.6,79.4,6.6%,93.4%,"591,000",25.8,41.2,2.3,0.2*,26.8,1.3,2.4
santabarbara,50.9,49.1,78.2,10.7,7.3,2.8,0.9,2.2,40.2,32.6,25.0,8.5,91.5,54.6,27.8,16.6,1*,317000.0,4.2,4.1,5.1,5,9.7,7.4,9.1,7.6,5.2,6.7,3.9,6.0,7.3,18.8,23.7,76.3,6.5%,93.5%,"329,000",42.4,49.5,1,0.3,4.4,,2.3
santaclara,50,50,78.9,9.5,7.9,2.9,1.0,2.4,43.7,34.4,19.5,8.3,91.7,55.1,27.0,16.8,1.2,1362000.0,2.8,2.3,3.5,3.3,6.4,5.5,5.6,4.2,4.5,4.9,3.5,5.9,10.4,37.2,26.9,73.1,5.5%,94.5%,"1,435,000",25.2,35.5,2.3,0.1*,34.2,0.4*,2.3
santacruz,57.3,42.7,83.4,8.4,4.8,2.4,0.9,1.2,42.2,33.4,23.1,7.4,92.6,51.1,30.6,17.0,1.2*,193000.0,4.2,2.9,4.5,3.8,10.1,6.8,7.1,5.9,5.2,5.8,3.4,7.0,9.2,23.0,34,66,6.5%,93.5%,"204,000",29.2,62.1,1,0.4,4.2,,2.8
shasta,51.4,48.6,70.1,9.2,10.1,9.4,1.1,0.9,34.4,34.1,30.6,11.5,88.5,50.1,28.5,18.6,2.8*,123000.0,3.7,3.2,5.1,7.6,12.3,9.4,9.2,7.5,6.5,6.7,3.6,4.8,7.8,12.7,36,64,9.5%,90.5%,"137,000",9.9,82.1,0.9*,2.2,2.2,,2.4
solano,45.5,54.5,75.8,9.9,8.9,4.6,0.7,1.3,30.2,36.5,32.0,13.2,86.8,48.2,31.5,19.2,1.1*,291000.0,2.2,2.6,2.7,4.7,8.6,6.6,9.5,6.0,5.5,7.6,5.8,6.7,11.5,20.1,23.5,76.5,7.5%,92.5%,"318,000",20.6,43.3,13.7,0.6*,16.5,1,4.4
sonoma,55.6,44.4,83.1,6.8,6.8,2.5,0.8,3,39.2,33.9,24.0,8.5,91.5,54.1,27.3,16.5,2.1*,371000.0,3.2,2.0,4.0,3.5,9.0,8.7,7.6,7.6,5.7,7.3,4.3,6.7,10.0,20.4,22,78,8.4%,91.6%,"384,000",22.7,69.2,1.7,0.9,2.8*,,2.6
stanislaus,44,56,71.7,13.8,9.7,4.3,0.5,1.5,27.0,35.9,35.5,12.6,87.4,43.3,30.4,24.0,2.4,364000.0,5.1,3.4,7.0,6.8,12.5,11.1,7.4,6.9,6.3,6.6,3.5,4.4,7.6,11.4,27.5,72.5,7.6%,92.4%,"390,000",41.1,47.2,3,0.4,5.5,0.7,2.1
sutter,43.5,56.5,68.5,14.5,12.2,4.4,,1.7,32.1,33.3,32.9,9.8,90.2,52.4,29.2,17.2,1.1*,68000.0,4.1,4.6,6.8,6.4,13.1,9.8,9.3,6.8,5.6,6.3,3.6,5.0,7.1,11.6,24.9,75.1,9.0%,91.0%,"73,000",27.7,53.3,1.7,1,13.7,,2.5
tehamaglenncolusa,46.6,53.4,69.4,12.8,9.6,6.2,1.9,1.8,29.9,32.8,35.5,11.4,88.6,48.5,28.4,21.8,1.2*,78000.0,5.6,4.4,8.1,8.1,15.6,11.5,7.7,6.3,5.4,5.4,4.0,4.7,5.8,7.3,26.2,73.8,7.8%,92.2%,"86,000",28.6,65.8,0.7*,1.7,1.1*,,2.1
tulare,46.5,53.5,72.3,10.8,9.9,6.0,1.0,1.2,24.5,34.4,39.9,13.9,86.1,47.9,30.0,20.8,1.3*,289000.0,5.6,6.3,8.4,7.9,14.5,11.4,8.1,5.5,5.2,4.9,2.8,5.3,6.2,7.8,33.4,66.6,7.1%,92.9%,"320,000",58.7,32.8,1.5,1.1,3.8,,2.0
tuolumnecalaverasamadorinyomariposamonoalpine,47.1,52.9,73.1,11.3,8.6,5.4,1.6,1.4,38.0,35.8,24.8,8.2,91.8,47.2,31.3,19.4,2,134000.0,3.3,3.4,5.6,4.8,11.4,9.0,10.7,6.2,5.2,7.4,5.6,6.4,8.0,13.0,26.2,73.8,9.9%,90.1%,"146,000",10.1,81.5,1.2,2.2,2.6,,2.0
ventura,51.2,48.8,81.0,10.1,5.4,3.0,0.5,1.8,36.6,36.7,24.9,9.0,91.0,52.9,32.1,14.0,1.1*,612000.0,3.1,2.9,3.9,4.1,8.4,9.3,7.1,6.0,5.2,6.4,4.8,6.5,10.5,21.9,27.9,72.1,6.9%,93.1%,"636,000",38.9,50.0,2.2,0.1,7.6,0.2,1.1
yolo,55.5,44.5,82.1,8.4,6.6,2.4,0.5,2*,41.6,33.4,23.0,6.9,93.1,54.5,29.8,15.2,0.5*,154000.0,6.3,3.8,4.5,4.2,9.9,8.1,6.1,5.3,6.0,5.3,3.9,6.1,9.8,20.9,29.3,70.7,5.9%,94.1%,"162,000",29.1,50.2,2.9,0.8*,13.9,0.7*,2.3
yuba,49.7,50.3,64.0,14.2,12.9,7.9,,1.5,28.6,33.1,36.7,13.4,86.6,41.8,34.0,22.4,1.8*,50000.0,6.3,5.3,7.3,8,14.1,9.2,8.6,6.9,6.2,4.4,3.9,4.9,7.5,7.4,37.4,62.6,10.6%,89.4%,"56,000",23.9,59.6,2.9,2.4,6.7,,4.2
